"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",0,439.99,"New","0","None","Gold","16","iPad Air 2",0,11268,"Train"
"",0,358.87,"Used","0","None","Unknown","32","iPad mini",0,11269,"Train"
"",0,939,"New","1","Unknown","Gold","128","iPad Air 2",0,11270,"Train"
"The Apple iPad is in fair cosmetic condition.  What&#039;s Not Included: Original box, Instructions, ",0,279.99,"Used","0","None","White","16","iPad mini 2",0,11271,"Train"
"",0,575,"Used","0","None","Gold","64","iPad Air 2",0,11272,"Train"
"NEW! Only the outer shrink wrap was removed. Includes all original accessories and manual.",0,544.49,"New other (see details)","0","None","Black","32","iPad 4",0,11273,"Train"
"",1,515,"Used","0","None","Space Gray","64","iPad Air 2",0,11274,"Train"
"Item has been professionally tested and inspected. Tests show that all features work correctly. This ",0,142.25,"Used","0","None","Black","32","iPad 2",0,11275,"Train"
"",0,349.99,"Used","0","None","Black","64","iPad mini",0,11276,"Train"
"Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11277,"Train"
"",1,300,"Used","0","None","Black","32","iPad mini",0,11278,"Train"
"",1,249,"New other (see details)","0","None","Space Gray","16","iPad mini 3",1,11279,"Train"
"This TABLET is in good condition with minor scratches on the housing or screen (does not affect ",0,95,"Used","0","None","White","32","iPad 1",0,11280,"Train"
"",1,25,"New","0","None","Gold","16","iPad mini 3",1,11281,"Train"
"",0,561.53,"New","Unknown","Unknown","White","Unknown","Unknown",0,11282,"Train"
"",0,948.98,"New","1","Unknown","Gold","128","iPad mini 3",0,11283,"Train"
"Used for online school (2 classes)",0,300,"Used","0","None","Unknown","16","Unknown",1,11284,"Train"
"",1,320,"Used","0","None","Unknown","64","iPad mini",0,11285,"Train"
"",0,424.55,"New","0","None","Gold","16","iPad Air 2",1,11286,"Train"
"***** CRACKED DIGITIZER SCREEN *****",0,540,"Used","1","Verizon","Unknown","32","iPad 4",0,11287,"Train"
"",0,300,"Used","0","None","Space Gray","16","iPad mini 2",0,11288,"Train"
"",1,0.99,"Used","0","None","Black","16","iPad 2",1,11289,"Train"
"",0,349.99,"New other (see details)","0","None","White","16","iPad 2",0,11290,"Train"
"",0,299.99,"Manufacturer refurbished","0","None","White","16","iPad mini 2",0,11291,"Train"
"",0,799.99,"New","1","Unknown","White","128","iPad mini 3",0,11292,"Train"
"",1,100,"Used","Unknown","Unknown","Gold","64","iPad Air 2",1,11293,"Train"
"Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ",0,165,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11294,"Train"
"",0,425,"New","0","None","Gold","16","iPad Air 2",1,11295,"Train"
"Unable to accept new apple updates but still connects to wifi networks",1,70,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",1,11296,"Train"
"",0,349,"New","0","None","Gold","16","iPad mini 3",0,11297,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,280,"Used","1","Unknown","White","16","iPad 4",0,11298,"Train"
"",0,499,"Used","0","None","Unknown","64","iPad Air 2",0,11299,"Train"
"",1,650,"New","1","Unknown","Gold","128","iPad Air 2",1,11300,"Train"
"Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ",0,314.99,"Seller refurbished","0","None","Black","64","iPad 3",0,11301,"Train"
"Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ",1,149.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11302,"Train"
"This item is Used &amp; in Fair cosmetic condition - 100% Fully Functional, iCloud clear, professionally ",0,149.99,"Used","0","None","White","32","iPad 2",0,11303,"Train"
"Near perfect cosmetic, perfect working condition.",0,220,"Used","0","None","Unknown","16","iPad 3",0,11304,"Train"
"*Great condition*Minimal use*Case included",0,199.99,"Used","Unknown","Unknown","Unknown","16","iPad 1",0,11305,"Train"
"",0,798,"New","0","None","Gold","64","iPad Air 2",0,11306,"Train"
"",1,149.98,"Used","Unknown","Unknown","White","16","Unknown",0,11307,"Train"
"USED / Cosmetics and few scratches / GOOD Condition / Perfect working",0,520,"Used","0","None","White","128","iPad 4",0,11308,"Train"
"Very good contidion",0,95,"Used","0","None","Black","16","iPad 1",0,11309,"Train"
"",0,351,"New","0","None","Unknown","16","iPad mini",0,11310,"Train"
"VERY GOOD CONDITION. VERY LITTLE TO NO SCRATCHES. PROTECTIVE CASE HAS A LITTLE WEAR ON CORNERS (SEE ",1,229.95,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11311,"Train"
"",0,189.99,"Used","0","None","Unknown","16","iPad mini",0,11312,"Train"
"Good Condition. Fully Functional.",1,0.99,"Used","0","None","White","16","iPad 2",1,11313,"Train"
"",0,259,"New","0","None","Space Gray","16","iPad mini",0,11314,"Train"
"",0,399,"Used","Unknown","AT&T","White","32","Unknown",0,11315,"Train"
"This item is used and in acceptable condition. Minor dents on back plate and medium/moderate ",0,104.99,"Used","0","None","Unknown","32","iPad 1",0,11316,"Train"
"",0,569,"New","0","None","White","128","iPad mini 3",0,11317,"Train"
"Used but in fair condition. It has many scratches on the housing and the screen but nothing major. ",0,214.99,"Used","0","None","White","16","iPad 3",0,11318,"Train"
"Virtually flawless. In case from Day 1. No visible defects or scratches",0,385,"Used","1","Verizon","White","64","iPad mini 2",1,11319,"Train"
"One owner very clean.",0,199,"Used","0","None","White","16","iPad 2",0,11320,"Train"
"",1,600,"New","1","Unknown","Space Gray","64","iPad Air 2",0,11321,"Train"
"The screen is Brand New.  This item is in Heavily Used cosmetic condition. 100% Fully Functional, ",0,134.34,"Used","1","AT&T","Black","16","iPad 2",0,11322,"Train"
"Great Condition",1,1,"Used","0","None","White","128","iPad Air",1,11323,"Train"
"",1,79.95,"Used","0","None","Black","32","iPad mini 2",1,11324,"Train"
"In 100% pristine condition. No scratches, dents, or dings",1,350,"Used","1","Unknown","Space Gray","32","iPad mini 2",0,11325,"Train"
"",1,40,"Used","0","None","Unknown","Unknown","Unknown",1,11326,"Train"
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, iCloud clear, ",0,141.09,"Used","0","None","White","32","iPad 2",0,11327,"Train"
"Excellent, see photos",0,375,"Used","1","Verizon","White","64","iPad mini",0,11328,"Train"
"This iPad has been used, but cared for and is in perfect condition.  It comes with Apple&#039;s Smart ",1,445,"Used","0","None","White","128","iPad 4",0,11329,"Train"
"",1,0.01,"New","Unknown","Unknown","White","16","iPad mini 3",1,11330,"Train"
"",0,650,"Used","1","Unknown","Unknown","128","iPad Air",0,11331,"Train"
"Works like new.",1,45,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11332,"Train"
"",0,295,"Used","1","Unknown","Black","16","iPad 3",0,11333,"Train"
"",0,560,"New","0","None","Unknown","64","iPad Air 2",0,11334,"Train"
"USED IN GOOD WORKING CONDITION - HAS COSMETIC SCRATCHES/BLEMISHES...SCRATCHES ARE NOT VISIBLE WHEN ",1,220,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11335,"Train"
"",0,599.99,"New","1","Unknown","White","128","iPad mini 3",0,11336,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,395,"Used","0","None","White","64","iPad 2",0,11337,"Train"
"Excellent condition",0,379,"Used","1","AT&T","White","32","iPad Air",0,11338,"Train"
"",0,389.99,"Used","0","None","Unknown","64","iPad mini 3",0,11339,"Train"
"",0,609.99,"New","1","Unknown","Space Gray","128","iPad mini 3",0,11340,"Train"
"Like New with box",0,187.89,"Used","0","None","Space Gray","16","iPad mini",0,11341,"Train"
"",0,175,"Used","0","None","Unknown","16","iPad mini",0,11342,"Train"
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN / IMEI ",0,280.99,"Used","1","AT&T","White","32","iPad 4",0,11343,"Train"
"Excellent condition and fully functional",1,0.99,"Seller refurbished","1","Unknown","Black","16","iPad Air",1,11344,"Train"
"Used - Good Working Condition",0,99,"Used","0","None","Black","32","iPad 1",0,11345,"Train"
"",1,215,"Used","Unknown","None","Unknown","32","iPad mini",0,11346,"Train"
"Excellent condition, no scratches or dented well kept as shown in pics. Came with charger and data ",0,200,"Used","0","None","White","16","iPad mini",0,11347,"Train"
"",0,295,"New","0","None","White","16","iPad mini",0,11348,"Train"
"",1,175,"Used","0","None","White","32","iPad 2",0,11349,"Train"
"",0,499,"Used","0","None","Space Gray","64","iPad Air 2",1,11350,"Train"
"",1,150,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11351,"Train"
"",0,425,"Used","1","AT&T","Black","64","iPad 2",0,11352,"Train"
"Screen has a couple small, unnoticeable single scratches. Largest scratch somewhat noticeable is ",1,9.99,"Used","1","AT&T","Unknown","32","iPad 2",1,11353,"Train"
"",0,300,"Used","0","None","White","16","iPad Air",1,11354,"Train"
"Pristine Condition(9.5/10), is very clean with no scratches, dents, or screen imperfections.  Unit ",0,589,"Used","0","None","Gold","128","iPad Air 2",0,11355,"Train"
"",0,575,"New","1","Unknown","Unknown","32","iPad mini 2",0,11356,"Train"
"like new in open box. Looks like it may have only been used once or twice.",0,24.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11357,"Train"
"In mint condition",0,320,"Used","1","Unknown","Unknown","16","iPad 4",0,11358,"Train"
"",0,595,"New","Unknown","Unknown","Unknown","Unknown","Unknown",1,11359,"Train"
"iPad Black 3rd generation 64Gb storage Model Mc707ll/a iPad is in very nice shape, glass and case ",1,200,"Used","Unknown","Unknown","Unknown","Unknown","iPad 3",0,11360,"Train"
"APPLE iPAD AIR 32GB WHITE MD789LL/B WHITE. This item is Previously Lightly Used, in Good Condition. ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11361,"Train"
"",0,285,"New","0","None","Black","16","iPad mini",0,11362,"Train"
"",0,498.88,"New","1","Verizon","Gold","16","iPad mini 3",0,11363,"Train"
"",0,350,"Used","0","None","Black","Unknown","iPad mini",0,11364,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,204,"Used","0","None","White","64","iPad 2",0,11365,"Train"
"Item still in complete working order, minor scratches, normal wear and tear but no damage. screen is ",1,125,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",1,11366,"Train"
"Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ",0,276.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11367,"Train"
"",1,0.99,"Manufacturer refurbished","0","None","White","64","iPad mini 2",1,11368,"Train"
"",1,50,"Used","Unknown","Unknown","Space Gray","Unknown","Unknown",1,11369,"Train"
"",0,459.95,"New","0","None","Gold","16","iPad Air 2",0,11370,"Train"
"",0,529.95,"New","0","None","Space Gray","16","iPad Air 2",0,11371,"Train"
"Fully working, used condition. iPad ONLY.",0,265,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11372,"Train"
"",0,459.99,"New","0","None","Unknown","16","iPad Air 2",0,11373,"Train"
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,360.24,"Seller refurbished","1","Verizon","White","64","iPad Air",0,11374,"Train"
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN &amp; ",0,261.99,"Seller refurbished","1","Sprint","Black","16","iPad 4",0,11375,"Train"
"",0,573.74,"New","0","None","Unknown","64","iPad 4",0,11376,"Train"
"",1,315,"Used","0","None","Space Gray","32","iPad mini 2",0,11377,"Train"
"Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ",0,340,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11378,"Train"
"",0,440,"New","0","None","Gold","16","iPad Air 2",0,11379,"Train"
"Use condition, some marks and scratches, few small dents, comes with non original charger (works for ",0,180,"Used","0","None","Black","16","iPad 2",0,11380,"Train"
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; ",0,237.99,"Seller refurbished","1","AT&T","Black","16","iPad 4",0,11381,"Train"
"",0,439.99,"New","0","None","Gold","16","iPad Air 2",1,11382,"Train"
"",0,395,"New","Unknown","Unknown","Space Gray","Unknown","Unknown",0,11383,"Train"
"",0,598.98,"New","0","None","Gold","16","iPad Air 2",0,11384,"Train"
"",0,240,"New other (see details)","0","None","Black","16","iPad 4",0,11385,"Train"
"",1,150,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11386,"Train"
"Still looks brand new... Kept in otterbox the entire time",0,300,"Used","0","None","White","32","iPad 3",0,11387,"Train"
"",0,300,"Manufacturer refurbished","Unknown","Unknown","Unknown","Unknown","iPad mini",0,11388,"Train"
"Refurbished",0,168,"Seller refurbished","0","None","Unknown","Unknown","Unknown",0,11389,"Train"
"",0,212.99,"Used","0","None","White","16","iPad 2",0,11390,"Train"
"",1,20,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",0,11391,"Train"
"",0,639.99,"New","0","None","Space Gray","64","iPad Air 2",0,11392,"Train"
"",0,350,"New","1","Sprint","White","32","Unknown",0,11393,"Train"
"",0,498.88,"New","1","Verizon","Gold","16","iPad mini 3",0,11394,"Train"
"The ipad is in great condition, it has been very well taken care of.  Please note the smart cover is ",0,400,"Used","1","Sprint","Unknown","16","iPad 4",0,11395,"Train"
"",0,279.5,"Used","Unknown","Unknown","Black","32","iPad 4",0,11396,"Train"
"",0,999,"Used","0","None","Unknown","32","iPad mini",0,11397,"Train"
"",0,298,"Used","0","None","Unknown","16","iPad mini",0,11398,"Train"
"",0,499.99,"New","0","None","Space Gray","16","iPad Air 2",0,11399,"Train"
"",0,149.99,"Used","0","None","Black","16","iPad 2",1,11400,"Train"
"",0,125,"Used","1","AT&T","Black","64","iPad 1",0,11401,"Train"
"",0,275,"Manufacturer refurbished","Unknown","Unknown","Black","Unknown","iPad 4",0,11402,"Train"
"",0,473.6,"New","Unknown","Unknown","Black","Unknown","Unknown",0,11403,"Train"
"",0,520.9,"New","Unknown","Unknown","White","Unknown","Unknown",0,11404,"Train"
"",0,339.99,"New","1","Sprint","Black","32","iPad mini",0,11405,"Train"
"Used item, has signs of normal wear. see pictures or description.",1,0.99,"Used","0","None","Black","32","Unknown",1,11406,"Train"
"",0,648,"New","0","None","White","32","iPad Air",0,11407,"Train"
"",0,648,"New","0","None","White","32","iPad Air",0,11408,"Train"
"",1,450,"Used","0","None","Space Gray","128","iPad Air",0,11409,"Train"
"Excellent Condition",0,220,"Used","0","None","Unknown","64","iPad 2",0,11410,"Train"
"",1,300,"New other (see details)","0","None","White","16","iPad mini",0,11411,"Train"
"iPad working great - both iPhones have broken but fully functioning",0,195,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11412,"Train"
"",0,695,"New other (see details)","1","AT&T","White","128","iPad 4",0,11413,"Train"
"",1,0.99,"Used","0","None","Space Gray","16","iPad Air 2",1,11414,"Train"
"",0,175,"Used","Unknown","Unknown","White","16","iPad 2",0,11415,"Train"
"",1,0.99,"Used","Unknown","Unknown","Unknown","32","iPad Air",1,11416,"Train"
"Perfect working order, cannot be updated past 5.1.1 . some cosmetic blemishes on the hard shell on ",0,99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11417,"Train"
"",0,375,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11418,"Train"
"",1,700,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11419,"Train"
"",0,150,"Used","0","None","Space Gray","16","iPad mini",1,11420,"Train"
"",0,329,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",1,11421,"Train"
"",1,1,"Used","0","None","Space Gray","16","iPad Air",1,11422,"Train"
"",0,700,"New other (see details)","0","None","White","64","Unknown",0,11423,"Train"
"",0,200,"New","0","None","Space Gray","16","iPad mini",0,11424,"Train"
"",0,599,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11425,"Train"
"",0,525,"New","1","Verizon","Space Gray","16","iPad mini 3",0,11426,"Train"
"",0,179.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11427,"Train"
"",0,300,"Used","0","None","White","Unknown","iPad Air",0,11428,"Train"
"Perfect working condition, kept in Otterbox Defender case since day 1. Please see photos for ",0,290,"Used","1","Verizon","Space Gray","64","iPad mini",0,11429,"Train"
"",1,50,"Used","1","AT&T","Black","Unknown","iPad 1",1,11430,"Train"
"NEAR NEW CONDITION. ORIGINAL BOX AND CHARGER.",0,325,"Seller refurbished","Unknown","Unknown","White","Unknown","iPad Air",0,11431,"Train"
"great condition",1,100,"Used","Unknown","Unknown","Unknown","16","iPad 2",0,11432,"Train"
"",0,150,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11433,"Train"
"",0,325,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11434,"Train"
"",1,100,"Used","0","None","Black","16","iPad 2",1,11435,"Train"
"",0,399,"New","Unknown","Unknown","Gold","16","iPad mini 3",0,11436,"Train"
"",1,180,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11437,"Train"
"",0,109.99,"New","Unknown","Unknown","White","Unknown","iPad mini",0,11438,"Train"
"",0,110,"Used","0","None","Black","16","iPad 1",0,11439,"Train"
"",0,51.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11440,"Train"
"",1,14.49,"New","Unknown","Unknown","Black","Unknown","Unknown",1,11441,"Train"
"Open box, was on exhibition, never used before.",0,44.99,"New other (see details)","Unknown","Unknown","Unknown","Unknown","Unknown",1,11442,"Train"
"Have signs of wear. Includes all accessories except the remote control and the user guide. Work ",0,30.99,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",0,11443,"Train"
"",0,3.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11444,"Train"
"",0,8.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11445,"Train"
"",0,127.95,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11446,"Train"
"",0,220,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",0,11447,"Train"
"",0,4.69,"New","Unknown","Unknown","Unknown","Unknown","Unknown",1,11448,"Train"
"",0,9.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11449,"Train"
"",0,139.99,"New","Unknown","Unknown","Black","Unknown","Unknown",0,11450,"Train"
"",0,69.99,"New","Unknown","Unknown","Unknown","Unknown","iPad 2",0,11451,"Train"
"",0,139,"New","Unknown","Unknown","Unknown","Unknown","iPad mini",0,11452,"Train"
"",1,350,"New","0","None","White","32","iPad mini",1,11453,"Train"
"",0,39.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11454,"Train"
"",0,9.95,"New","Unknown","Unknown","Space Gray","Unknown","Unknown",0,11455,"Train"
"",0,28,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11456,"Train"
"Item is used and in like new condition. Item comes in original packaging.",0,70.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11457,"Train"
"Tested Working - Great condition! -  Grade A",0,255,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",0,11458,"Train"
"",0,28.75,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11459,"Train"
"",0,339.98,"New","0","None","Gold","16","iPad mini 3",0,11460,"Train"
"",0,750,"New","1","Unknown","Unknown","128","iPad Air",0,11461,"Train"
"",1,0.99,"Used","0","None","Unknown","32","iPad 1",1,11462,"Train"
"",0,250,"New other (see details)","0","None","Black","16","iPad mini 2",0,11463,"Train"
"",0,332.5,"New","0","None","White","16","iPad mini 3",0,11464,"Train"
"",0,118.95,"New","0","None","White","16","Unknown",0,11465,"Train"
"Ipad has been cleared and factory reset, icloud has been removed and ready for new owner to setup. ",0,149.99,"Used","Unknown","Unknown","White","Unknown","Unknown",0,11466,"Train"
"Accounts of scuffs on back from case",1,100,"Used","0","None","Unknown","32","iPad 2",1,11467,"Train"
"",0,199.99,"Used","0","None","Black","32","iPad 2",0,11468,"Train"
"As depicted and described. THIS IS A RE-LISTING DUE TO WINNING BIDDER ON BUY IT NOW DEFAULTING AND ",1,100,"Used","0","None","White","16","iPad mini",1,11469,"Train"
"",1,75,"Used","0","None","Black","16","iPad mini",1,11470,"Train"
"",1,0.99,"Used","1","Verizon","Space Gray","64","iPad 2",0,11471,"Train"
"",1,215,"Seller refurbished","1","AT&T","Black","16","iPad mini 2",0,11472,"Train"
"",0,395,"New","1","Unknown","Unknown","64","iPad mini 2",1,11473,"Train"
"Used in good condition. Reset to factory settings. Includes otter box.",1,0.99,"Used","1","Sprint","White","16","iPad Air",1,11474,"Train"
"",0,509,"New","1","Unknown","Space Gray","32","iPad mini 2",0,11475,"Train"
"",1,155,"Seller refurbished","1","AT&T","Black","16","iPad 2",1,11476,"Train"
"",1,100,"Used","1","AT&T","Black","16","iPad 4",1,11477,"Train"
"",1,375,"Used","1","AT&T","White","16","Unknown",0,11478,"Train"
"",0,199.99,"Used","0","None","White","32","iPad 2",0,11479,"Train"
"",0,289,"Used","0","None","White","16","iPad mini 2",0,11480,"Train"
"",0,645,"New","0","None","Gold","128","iPad Air 2",0,11481,"Train"
"Manufacturer refurbished, i had it for 2 years already with minor scrapes and it work properly. ",1,265,"Used","0","None","White","16","iPad mini",0,11482,"Train"
"",1,0.99,"New","0","None","Unknown","16","iPad mini 2",1,11483,"Train"
"",1,450,"Used","Unknown","Unknown","Space Gray","16","iPad mini 2",0,11484,"Train"
"",1,599.99,"New","0","None","White","16","Unknown",0,11485,"Train"
"",1,729.99,"New","0","None","White","64","iPad Air 2",0,11486,"Train"
"",0,749,"New","1","Unknown","Gold","128","iPad Air 2",0,11487,"Train"
"",1,729.99,"New","0","None","Space Gray","128","iPad mini 3",0,11488,"Train"
"",1,499.99,"New","0","None","Gold","16","iPad mini 3",0,11489,"Train"
"But in mint condition,comes with a screen protector,case,charger,earbuds.",0,225,"Used","Unknown","Unknown","Space Gray","16","Unknown",0,11490,"Train"
"",1,499.99,"New","0","None","White","16","iPad mini 3",0,11491,"Train"
"",1,599.99,"New","0","None","White","64","iPad mini 3",0,11492,"Train"
"",1,729.99,"New","0","None","White","128","iPad mini 3",0,11493,"Train"
"Includes all original packaging. Bought new two months ago and too late to return it. My loss is ",1,350,"New other (see details)","1","AT&T","White","16","iPad mini 2",0,11494,"Train"
"",0,300,"New","0","None","Unknown","64","iPad 3",0,11495,"Train"
"",1,350,"New","Unknown","Unknown","White","16","iPad mini",0,11496,"Train"
"",0,320,"Manufacturer refurbished","0","None","White","32","iPad Air",1,11497,"Train"
"",0,425.99,"New","0","None","Black","32","Unknown",0,11498,"Train"
"",0,260,"New","0","None","White","16","iPad mini 2",1,11499,"Train"
"",0,237,"New","0","None","White","16","iPad mini 2",1,11500,"Train"
"",0,150,"Used","0","None","Black","16","iPad mini",1,11501,"Train"
"",0,180,"Used","0","None","Black","16","iPad 2",0,11502,"Train"
"",0,80,"Used","0","None","Black","16","iPad 1",1,11503,"Train"
"brand new&lt;br&gt;",0,100,"New other (see details)","0","None","Unknown","16","iPad mini",1,11504,"Train"
"",0,179,"Used","1","Verizon","White","32","iPad 2",1,11505,"Train"
"",1,144.95,"New","0","None","Unknown","Unknown","iPad Air",0,11506,"Train"
"",0,69.99,"Used","0","None","Black","16","iPad 1",1,11507,"Train"
"",0,315,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",1,11508,"Train"
"",0,135,"Used","1","AT&T","Black","16","iPad 2",1,11509,"Train"
"",0,235,"Used","0","None","White","16","iPad mini Retina",0,11510,"Train"
"",0,160,"Used","0","None","Black","16","iPad mini",1,11511,"Train"
"",0,235,"New","0","None","Space Gray","16","iPad mini",0,11512,"Train"
"only a few months old, a few scratches",0,295,"Used","0","None","Unknown","64","iPad mini 2",1,11513,"Train"
"â€œGrade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ",0,219,"Manufacturer refurbished","1","Verizon","Black","16","iPad mini",1,11514,"Train"
"",0,299,"Used","0","None","Gold","16","iPad mini 3",0,11515,"Train"
"",0,280,"New","0","None","White","16","iPad mini 2",1,11516,"Train"
"There is a small dent at the site of the dock connector port.  Often times you have to depress the ",0,330,"Used","1","AT&T","White","32","iPad 2",0,11517,"Train"
"",0,180,"Used","1","AT&T","Space Gray","16","iPad mini",1,11518,"Train"
"In perfect condition! Not a scratch!",0,500,"Used","1","AT&T","White","128","iPad Air",0,11519,"Train"
"",0,205,"Used","1","Verizon","Unknown","16","iPad mini",1,11520,"Train"
"",0,208,"Used","0","None","Unknown","64","iPad mini",1,11521,"Train"
"",0,419,"New","0","None","Unknown","16","iPad Air 2",1,11522,"Train"
"In new condition only used a short time and always had it in the case. Also selling the case with ",0,165,"Used","0","None","Black","16","iPad 1",0,11523,"Train"
"",0,650,"New","1","AT&T","Unknown","128","iPad mini 3",1,11524,"Train"
"",0,290,"New","0","None","White","16","iPad mini 3",1,11525,"Train"
"",0,347,"New","0","None","White","32","Unknown",0,11526,"Train"
"",0,175,"Used","1","AT&T","Unknown","32","iPad 1",0,11527,"Train"
"",0,400,"New","1","Verizon","Unknown","32","iPad mini",0,11528,"Train"
"",0,730,"New","1","Unknown","White","128","iPad Air 2",0,11529,"Train"
"",0,150,"Used","1","Sprint","Unknown","16","iPad mini",1,11530,"Train"
"",0,225,"Used","0","None","Space Gray","16","iPad mini 2",0,11531,"Train"
"barely used",0,325,"Used","0","None","Unknown","32","iPad mini 2",0,11532,"Train"
"",0,749.99,"New","1","Unknown","Space Gray","128","iPad Air 2",0,11533,"Train"
"",0,225,"New","0","None","Unknown","16","iPad mini",0,11534,"Train"
"",0,150,"Used","0","None","Unknown","64","iPad 1",1,11535,"Train"
"Good overall condition, used very lightly. Some minor signs of wear on back of case, screen in ",0,128,"Used","1","AT&T","Unknown","16","iPad 2",1,11536,"Train"
"Like New!!!",0,105,"Used","0","None","Unknown","32","iPad 1",0,11537,"Train"
"",0,175,"Used","0","None","Unknown","16","iPad mini",0,11538,"Train"
"Item in near perfect condition, without original box - comes with certified lightening cable and ",0,550,"Manufacturer refurbished","1","Unknown","Unknown","64","iPad Air",0,11539,"Train"
"",0,349.95,"New","0","None","Unknown","16","iPad mini 3",1,11540,"Train"
"",0,250,"Used","0","None","Unknown","16","iPad mini",0,11541,"Train"
"",0,145,"Used","0","None","Black","64","iPad 1",0,11542,"Train"
"Only had for 2 months and just don&#039;t have a need for it but in perfect shape!! Will be unlocked only ",0,210,"Used","0","None","Unknown","16","iPad mini",0,11543,"Train"
"",0,90,"Used","1","AT&T","Black","32","iPad 1",1,11544,"Train"
"",0,100,"Used","0","None","Black","16","iPad 1",0,11545,"Train"
"",0,331.99,"New","0","None","Gold","16","iPad mini 3",0,11546,"Train"
"",0,348.6,"New","1","AT&T","Space Gray","16","iPad mini",0,11547,"Train"
"",0,308,"New other (see details)","0","None","Space Gray","16","iPad mini 2",0,11548,"Train"
"This iPad Air is less than a year old. The 1 yr limited warranty expires July 17. It is in perfect ",0,349,"Used","0","None","Unknown","32","iPad Air",0,11549,"Train"
"",0,70,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11550,"Train"
"",0,350,"Used","0","None","Unknown","16","iPad 2",0,11551,"Train"
"",0,710,"Used","1","Unknown","Gold","128","iPad Air 2",0,11552,"Train"
"",0,230,"Used","0","None","Unknown","16","iPad mini",0,11553,"Train"
"Small scratches on the back of the IPad. Screen is in flawless condition.",0,275,"New other (see details)","0","None","Unknown","16","iPad 2",0,11554,"Train"
"",0,380,"Used","1","T-Mobile","Space Gray","32","iPad mini 2",1,11555,"Train"
"",0,399.99,"New","0","None","Unknown","16","iPad mini 3",0,11556,"Train"
